token_0,BIO_tag_0
warga,
 ,O
cengkareng,
 ,O
jakarta,
 ,O
barat,
 ,O
dinyatakan,
 ,O
tewas,
 ,O
dibunuh,
 ,O
polisi,
 ,O
mencocokkan,
 ,O
identitas,
 ,O
sesosok,
 ,O
mayat,
 ,O
perempuan,
 ,O
ditemukan,
 ,O
jatisampurna,
 ,O
bekasi,
 ,O
jumat,
 ,O
295,
 ,O
minggu,
 ,O
dinyatakan,
 ,O
hilang,
 ,O
polisi,
 ,O
menangkap,
 ,O
pelaku,
 ,O
penemuan,
 ,O
jasad,
 ,O
perempuan,
 ,O
jatisampurna,
 ,O
bekasi,
 ,O
keluarga,
 ,O
melapor,
 ,O
polisi,
 ,O
harapan,
 ,O
ditemukan,
 ,O
sisi,
 ,O
keluarga,
 ,O
berikhtiar,
 ,O
ikhtiar,
 ,O
mencari,
 ,O
manamana,
 ,O
tangerang,
 ,O
wanita,
 ,O
riyan,
 ,O
keluarga,
 ,O
nggak,O
 ,O
amanaman,
 ,O
terdakwa,
 ,O
terdakwa,
 ,O
fikry,
 ,O
abdul,
 ,O
rohman,
 ,O
randy,
 ,O
apriyanto,
 ,O
muhammad,
 ,O
rizky,
 ,O
sidang,
 ,O
keempatnya,
 ,O
digelar,
 ,O
pengadilan,
 ,O
negeri,
 ,O
cikarang,
 ,O
mengadili,
 ,O
terdakwa,
 ,O
terbukti,
 ,O
sadar,
 ,O
bersalah,
 ,O
tindakan,
 ,O
pidana,
 ,O
pencurian,
 ,O
tindakan,
 ,O
kekerasan,
 ,O
dakwaan,
 ,O
penuntut,
 ,O
hakim,
 ,O
ketua,
 ,O
chandra,
 ,O
ramadhani,
 ,O
membacakan,
 ,O
vonis,
 ,O
pn,
 ,O
cikarang,
 ,O
bekasi,
 ,O
senin,
 ,O
2542022,
 ,O
hakim,
 ,O
menjatuhkan,
 ,O
putusan,
 ,O
abdurrahman,
 ,O
pidana,
 ,O
penjara,
 ,O
10,
 ,O
terdakwa,
 ,O
dijatuhi,
 ,O
vonis,
 ,O
penjara,
 ,O
menjatuhkan,
 ,O
pidana,
 ,O
terdakwa,
 ,O
fikri,
 ,O
randy,
 ,O
rizky,
 ,O
pidana,
 ,O
masingmasing,
 ,O
sambung,
 ,O
hakim,
 ,O
hakim,
 ,O
membacakan,
 ,O
putusan,
 ,O
keluarga,
 ,O
terdakwa,
 ,O
menahan,
 ,O
air,
 ,O
dibacakan,
 ,O
vonis,
 ,O
keluarga,
 ,O
kecewa,
 ,O
ruangan,
 ,O
sidang,
 ,O
jaksa,
 ,O
menuntut,
 ,O
muhammad,
 ,O
fikry,
 ,O
muhammad,
 ,O
rizky,
 ,O
randy,
 ,O
apriyanto,
 ,O
penjara,
 ,O
abdul,
 ,O
rohman,
 ,O
dituntut,
 ,O
25,
 ,O
penjara,
 ,O
sidang,
 ,O
terpisah,
 ,O
basri,
 ,O
haji,
 ,O
gadungan,
 ,O
ditangkap,
 ,O
polisi,
 ,O
wilayah,
 ,O
btn,
 ,O
selindo,
 ,O
batangase,
 ,O
kecamatan,
 ,O
mandai,
 ,O
kabupaten,
 ,O
maros,
 ,O
senin,
 ,O
213,
 ,O
berdasarkan,
 ,O
catatan,
 ,O
kepolisian,
 ,O
pelaku,
 ,O
total,
 ,O
memiliki,
 ,O
tujuh,
 ,O
laporan,
 ,O
polisi,
 ,O
polsek,
 ,O
pelaku,
 ,O
lp,
 ,O
polsek,
 ,O
kanit,
 ,O
resmob,
 ,O
polda,
 ,O
sulsel,
 ,O
kompol,
 ,O
dharma,
 ,O
negara,
 ,O
darma,
 ,O
pelaku,
 ,O
kerap,
 ,O
beraksi,
 ,O
wilayah,
 ,O
makassar,
 ,O
maros,
 ,O
kabupaten,
 ,O
gowa,
 ,O
korbannya,
 ,O
emakemak,
 ,O
korban,
 ,O
mudah,
 ,O
terpedaya,
 ,O
pelaku,
 ,O
mengaku,
 ,O
haji,
 ,O
korban,
 ,O
tahunya,
 ,O
pelaku,
 ,O
ngaku,
 ,O
haji,
 ,O
pas,
 ,O
tangkap,
 ,O
pengakuan,
 ,O
pelaku,
 ,O
haji,
 ,O
dharma,
 ,O
dharma,
 ,O
pelaku,
 ,O
beraksi,
 ,O
pattallassang,
 ,O
gowa,
 ,O
mei,
 ,O
2021,
 ,O
pelaku,
 ,O
menyasar,
 ,O
rumah,
 ,O
tangga,
 ,O
alias,
 ,O
emakemak,
 ,O
memakai,
 ,O
emas,
 ,O
korban,
 ,O
mengeluarkan,
 ,O
gelangnya,
 ,O
dibersihkan,
 ,O
jinnya,
 ,O
korban,
 ,O
menolak,
 ,O
berhasil,
 ,O
didesak,
 ,O
pelaku,
 ,O
dharma,
 ,O
pelaku,
 ,O
berdalih,
 ,O
ambil,
 ,O
alat,
 ,O
bagasi,
 ,O
motor,
 ,O
kabur,
 ,O
sambungnya,
 ,O
pelaku,
 ,O
menipu,
 ,O
wanita,
 ,O
kawasan,
 ,O
panakkukang,
 ,O
makassar,
 ,O
desember,
 ,O
2020,
 ,O
pelaku,
 ,O
berdalih,
 ,O
membeli,
 ,O
rumah,
 ,O
korban,
 ,O
pelaku,
 ,O
menuding,
 ,O
rumah,
 ,O
korban,
 ,O
memiliki,
 ,O
korban,
 ,O
melepaskan,
 ,O
perhiasan,
 ,O
emas,
 ,O
miliknya,
 ,O
berwudhu,
 ,O
tangan,
 ,O
haji,
 ,O
gadungan,
 ,O
polisi,
 ,O
menyita,
 ,O
barang,
 ,O
bukti,
 ,O
sepasang,
 ,O
anting,
 ,O
cincin,
 ,O
emas,
 ,O
kalung,
 ,O
polisi,
 ,O
menyita,
 ,O
barang,
 ,O
bukti,
 ,O
sepeda,
 ,O
motor,
 ,O
delapan,
 ,O
unit,
 ,O
handphone,
 ,O
ketua,
 ,O
pn,
 ,O
bengkulu,
 ,O
jon,
 ,O
sarman,
 ,O
saragih,
 ,O
perkara,
 ,O
pengadilan,
 ,O
negeri,
 ,O
januari,
 ,O
maret,
 ,O
2022,
 ,O
135,
 ,O
perkara,
 ,O
rinciannya,
 ,O
112,
 ,O
perkara,
 ,O
pidana,
 ,O
pidum,
 ,O
21,
 ,O
perkara,
 ,O
tindak,
 ,O
pidana,
 ,O
korupsi,
 ,O
perselisihan,
 ,O
hubungan,
 ,O
industrial,
 ,O
phi,
 ,O
perkara,
 ,O
sdangkan,
 ,O
65,
 ,O
perkara,
 ,O
narkotika,
 ,O
disusul,
 ,O
20,
 ,O
perkara,
 ,O
asusila,
 ,O
pencabulan,
 ,O
pemerkosaan,
 ,O
prihatin,
 ,O
pengadilan,
 ,O
negeri,
 ,O
bengkulu,
 ,O
perkara,
 ,O
narkotika,
 ,O
asusila,
 ,O
jon,
 ,O
barubaru,
 ,O
terdakwa,
 ,O
asusila,
 ,O
dewasa,
 ,O
mahasiswa,
 ,O
menyeret,
 ,O
orangtua,
 ,O
terdakwa,
 ,O
mirisnya,
 ,O
16,
 ,O
perkara,
 ,O
asusila,
 ,O
menyeret,
 ,O
anak,
 ,O
umur,
 ,O
terdakwa,
 ,O
tingginya,
 ,O
narkotika,
 ,O
asusila,
 ,O
bengkulu,
 ,O
perhatian,
 ,O
keluarga,
 ,O
lingkungan,
 ,O
masyarakat,
 ,O
pemerintah,
 ,O
perbuatan,
 ,O
asusila,
 ,O
kurangnya,
 ,O
pengawasan,
 ,O
orangtua,
 ,O
keluarga,
 ,O
kondisi,
 ,O
dihindari,
 ,O
kegiatan,
 ,O
positif,
 ,O
pengawasan,
 ,O
pengawasan,
 ,O
orangtua,
 ,O
wanita,
 ,O
labuhanbatu,
 ,O
utara,
 ,O
labura,
 ,O
sumatera,
 ,O
utara,
 ,O
berinisial,
 ,O
23,
 ,O
korban,
 ,O
peristiwa,
 ,O
jalan,
 ,O
perkebunan,
 ,O
sei,
 ,O
balai,
 ,O
asahan,
 ,O
jumat,
 ,O
26,
 ,O
november,
 ,O
2021,
 ,O
pelaku,
 ,O
berinisial,
 ,O
skt,
 ,O
24,
 ,O
ditangkap,
 ,O
kapolres,
 ,O
kasubag,
 ,O
humas,
 ,O
informasi,
 ,O
pekerjaan,
 ,O
ditawarkan,
 ,O
berangkat,
 ,O
rumahnya,
 ,O
bertemu,
 ,O
skt,
 ,O
sei,
 ,O
balai,
 ,O
asahan,
 ,O
lokasi,
 ,O
korban,
 ,O
menghubungi,
 ,O
pelaku,
 ,O
berboncengan,
 ,O
diajak,
 ,O
pelaku,
 ,O
menemaninya,
 ,O
mengutip,
 ,O
angsuran,
 ,O
koperasi,
 ,O
arah,
 ,O
perkebunan,
 ,O
kelapa,
 ,O
sawit,
 ,O
charles,
 ,O
diturunkan,
 ,O
perkebunan,
 ,O
sawit,
 ,O
sepi,
 ,O
skt,
 ,O
merampas,
 ,O
ponsel,
 ,O
uang,
 ,O
tunai,
 ,O
mengancam,
 ,O
pisau,
 ,O
skt,
 ,O
memaksa,
 ,O
korban,
 ,O
membuka,
 ,O
baju,
 ,O
buka,
 ,O
bajumu,
 ,O
awaskan,
 ,O
pisau,
 ,O
pelaku,
 ,O
lengah,
 ,O
korban,
 ,O
lari,
 ,O
pertolongan,
 ,O
charles,
 ,O
korban,
 ,O
melapor,
 ,O
polres,
 ,O
asahan,
 ,O
skt,
 ,O
ditangkap,
 ,O
rabu,
 ,O
112,
 ,O
skt,
 ,O
melawan,
 ,O
ditembak,
 ,O
polisi,
 ,O
puluhan,
 ,O
puluhan,
 ,O
jurnalis,
 ,O
tergabung,
 ,O
wartawan,
 ,O
banyuwangi,
 ,O
bersatu,
 ,O
organisasi,
 ,O
wartawan,
 ,O
ikatan,
 ,O
jurnalis,
 ,O
televisi,
 ,O
indonesia,
 ,O
ijti,
 ,O
persatuan,
 ,O
wartawan,
 ,O
indonesia,
 ,O
pwi,
 ,O
aliansi,
 ,O
jurnalis,
 ,O
indonesia,
 ,O
aji,
 ,O
menggelar,
